C000001,John Doe,1234567890,true,2025-01-01,C0000002
C000002,Jane Doe,2345678901,false,2024-01-01
C000003,Bob Smith,3456789012,true,2023-01-01,C0000002;C0000004
C000004,Alice Johnson,4567890123,false,2022-01-01
C000005,Charlie Brown,5678901234,true,2021-01-01,C000006;C000008
C000006,David Davis,6789012345,false,2020-01-01
C000007,Eve Green,7890123456,true,2019-01-01
C000008,Frank White,8901234567,false,2018-01-01
C000009,Grace Black,9012345678,true,2017-01-01,C000010
C000010,Harry Garcia,0123456789,false,2016-01-01
C000011,Irene Martin,1234567890,true,2015-01-01
C000012,Jack Wilson,2345678901,false,2014-01-01
C000013,Kate Thompson,3456789012,true,2013-01-01
C000014,Lily Anderson,4567890123,false,2012-01-01
C000015,Michael Moore,5678901234,true,2011-01-01
